epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,2461.05,0.98967,0.77676,1.33932,0.87961,0.81117,0.88644,0.59747,1.15184,0.78871,1.57047,0.00131133,0.00131133,0.00131133
151,2475.76,0.97174,0.77737,1.34825,0.87078,0.81643,0.90081,0.60757,1.13566,0.76475,1.52811,0.00130979,0.00130979,0.00130979
152,2490.32,0.98058,0.7891,1.35924,0.85769,0.83787,0.89098,0.59942,1.1298,0.76492,1.54319,0.00130824,0.00130824,0.00130824
153,2505.07,0.95605,0.78229,1.33672,0.84472,0.81785,0.88208,0.58523,1.13622,0.78927,1.56669,0.00130668,0.00130668,0.00130668
154,2532.86,0.96558,0.76775,1.34521,0.89325,0.84361,0.90782,0.60924,1.15422,0.74024,1.55022,0.00130512,0.00130512,0.00130512
155,2547.76,0.95745,0.77418,1.32986,0.88258,0.83799,0.91635,0.61901,1.12337,0.71467,1.52514,0.00130354,0.00130354,0.00130354
156,2562.41,0.96704,0.77442,1.3444,0.87237,0.85219,0.9174,0.62657,1.07338,0.69519,1.50693,0.00130196,0.00130196,0.00130196
157,2576.95,0.95551,0.76185,1.32731,0.89205,0.83755,0.91862,0.62389,1.1068,0.7144,1.50499,0.00130037,0.00130037,0.00130037
158,2591.56,0.95788,0.75039,1.32236,0.87821,0.82766,0.8913,0.57767,1.16057,0.7924,1.60189,0.00129877,0.00129877,0.00129877
159,2606.12,0.97575,0.77268,1.33512,0.8404,0.81404,0.88218,0.60408,1.11147,0.79691,1.50547,0.00129716,0.00129716,0.00129716
160,2621.05,0.94265,0.72991,1.31256,0.88071,0.84779,0.9077,0.62487,1.0995,0.72457,1.48417,0.00129554,0.00129554,0.00129554
161,2635.7,0.92828,0.74339,1.30584,0.86003,0.82197,0.88488,0.59595,1.14015,0.76614,1.5298,0.00129391,0.00129391,0.00129391
162,2650.33,0.92233,0.71822,1.30398,0.81071,0.83357,0.89405,0.61196,1.12443,0.80555,1.49183,0.00129227,0.00129227,0.00129227
163,2665.17,0.94139,0.73065,1.31128,0.87726,0.81646,0.88727,0.60477,1.12168,0.73391,1.4776,0.00129062,0.00129062,0.00129062
164,2679.88,0.92464,0.74132,1.28807,0.88493,0.82217,0.90229,0.62667,1.07946,0.71103,1.47286,0.00128897,0.00128897,0.00128897
165,2694.4,0.93104,0.7436,1.30729,0.91116,0.85236,0.91619,0.63164,1.07104,0.68342,1.48316,0.00128731,0.00128731,0.00128731
166,2709.27,0.95032,0.75189,1.33774,0.72599,0.84462,0.82415,0.55704,1.13058,0.99158,1.53955,0.00128563,0.00128563,0.00128563
167,2724.08,0.91679,0.72722,1.29329,0.86387,0.83076,0.89916,0.62052,1.06779,0.72356,1.50377,0.00128395,0.00128395,0.00128395
168,2739.11,0.91199,0.72418,1.29554,0.86067,0.79314,0.88553,0.59395,1.11106,0.77125,1.55438,0.00128226,0.00128226,0.00128226
169,2753.7,0.9082,0.72194,1.29339,0.88465,0.848,0.92325,0.63606,1.07292,0.67677,1.49747,0.00128057,0.00128057,0.00128057
170,2768.29,0.91523,0.70344,1.29709,0.85717,0.86102,0.90698,0.61017,1.14129,0.72736,1.53936,0.00127886,0.00127886,0.00127886
171,2782.93,0.94668,0.73475,1.31595,0.89677,0.83877,0.90973,0.61881,1.1238,0.7175,1.50468,0.00127714,0.00127714,0.00127714
172,2797.54,0.90941,0.71476,1.30437,0.89594,0.77888,0.90132,0.62513,1.0799,0.74985,1.48267,0.00127542,0.00127542,0.00127542
173,2812.15,0.91431,0.7155,1.29486,0.84743,0.78634,0.87575,0.58215,1.1496,0.84953,1.56825,0.00127369,0.00127369,0.00127369
174,2827.25,0.92561,0.74225,1.2937,0.86633,0.81883,0.89408,0.5955,1.15445,0.76938,1.59188,0.00127195,0.00127195,0.00127195
175,2841.87,0.89882,0.7141,1.27415,0.86328,0.82274,0.91312,0.6177,1.08488,0.72646,1.52466,0.0012702,0.0012702,0.0012702
176,2856.35,0.91886,0.74384,1.29951,0.85607,0.85822,0.90857,0.61945,1.10255,0.70314,1.49115,0.00126844,0.00126844,0.00126844
177,2871.11,0.91411,0.71472,1.29583,0.90277,0.84608,0.91207,0.62614,1.09096,0.70887,1.51658,0.00126667,0.00126667,0.00126667
178,2901.23,0.90805,0.69855,1.29665,0.84191,0.82878,0.89444,0.62105,1.09164,0.76583,1.49508,0.0012649,0.0012649,0.0012649
179,2916.84,0.93621,0.70673,1.30197,0.88365,0.807,0.90339,0.62105,1.09889,0.72127,1.50621,0.00126311,0.00126311,0.00126311
